"ID";"PLI_mean_theta";"Lw_theta";"Lw_mean_theta";"Lw_normalized_theta";"Cw_theta";"Cw_mean_theta";"Cw_normalized_theta";"PLI_mean_alpha";"Lw_alpha";"Lw_mean_alpha";"Lw_normalized_alpha";"Cw_alpha";"Cw_mean_alpha";"Cw_normalized_alpha";"PLI_mean_alpha_1";"Lw_alpha_1";"Lw_mean_alpha_1";"Lw_normalized_alpha_1";"Cw_alpha_1";"Cw_mean_alpha_1";"Cw_normalized_alpha_1";"PLI_mean_alpha_2";"Lw_alpha_2";"Lw_mean_alpha_2";"Lw_normalized_alpha_2";"Cw_alpha_2";"Cw_mean_alpha_2";"Cw_normalized_alpha_2";"PLI_mean_beta_1";"Lw_beta_1";"Lw_mean_beta_1";"Lw_normalized_beta_1";"Cw_beta_1";"Cw_mean_beta_1";"Cw_normalized_beta_1";"PLI_mean_beta_2";"Lw_beta_2";"Lw_mean_beta_2";"Lw_normalized_beta_2";"Cw_beta_2";"Cw_mean_beta_2";"Cw_normalized_beta_2";"pcrvtot";"pure_IQ"
1234;0,434957;2,34667;2,23936;1,04792;0,433443;0,429457;1,00928;0,464256;2,19386;2,0887;1,05035;0,468169;0,459871;1,01804;0,51311;1,9787;1,96516;1,00689;0,509037;0,50853;1,001;0,514019;1,97509;1,94697;1,01444;0,515945;0,509915;1,01183;0,396562;2,51482;2,30544;1,09082;0,402078;0,391094;1,02808;0,383626;2,58333;2,35972;1,09476;0,389667;0,378034;1,03077;18;0,964464282624866
1240;0,395201;2,59332;2,5127;1,03208;0,390287;0,389937;1,0009;0,399664;2,56052;2,42991;1,05375;0,397661;0,394771;1,00732;0,475042;2,14266;2,12709;1,00732;0,468753;0,470091;0,997152;0,449354;2,26956;2,23302;1,01637;0,445389;0,444736;1,00147;0,358094;2,84944;2,63327;1,08209;0,356514;0,35304;1,00984;0,331645;3,03664;2,73851;1,10887;0,333587;0,326694;1,0211;21;3,96446428262487
1242;0,421349;2,42543;2,33739;1,03766;0,418492;0,416292;1,00529;0,47624;2,13707;2,06693;1,03393;0,482238;0,473343;1,01879;0,557873;1,81536;1,80583;1,00528;0,558656;0,554912;1,00675;0,478867;2,12497;2,09258;1,01548;0,48184;0,476108;1,01204;0,371154;2,74988;2,55701;1,07543;0,371981;0,366554;1,0148;0,324658;3,1166;2,84614;1,09502;0,324154;0,318823;1,01672;19;2,54630542724174
1245;0,416991;2,45235;2,3605;1,03891;0,414287;0,411806;1,00602;0,437708;2,33073;2,19179;1,06339;0,445502;0,434878;1,02443;0,496907;2,04532;2,03139;1,00686;0,492327;0,492338;0,999979;0,482154;2,11;2,06146;1,02354;0,487128;0,479168;1,01661;0,366185;2,75867;2,5184;1,09541;0,368414;0,361399;1,01941;0,34215;2,93292;2,65296;1,10553;0,345641;0,337497;1,02413;13;-2,29001228352451
1246;0,416091;2,45713;2,34003;1,05004;0,417888;0,411807;1,01477;0,489574;2,07565;1,94911;1,06492;0,510465;0,48961;1,0426;0,53543;1,89374;1,8801;1,00725;0,539066;0,532814;1,01173;0,535045;1,89514;1,85389;1,02225;0,548775;0,534201;1,02728;0,387526;2,59895;2,35038;1,10576;0,400091;0,385009;1,03917;0,370083;2,70966;2,42171;1,1189;0,387248;0,3681;1,05202;20;5,29182886109237
1247;0,41912;2,4389;2,33913;1,04266;0,417668;0,414106;1,0086;0,548512;1,84725;1,80501;1,0234;0,562997;0,547286;1,02871;0,598088;1,69002;1,68334;1,00397;0,602938;0,595699;1,01215;0,532644;1,90394;1,87822;1,0137;0,540501;0,530468;1,01891;0,367286;2,75147;2,53609;1,08493;0,368877;0,362155;1,01856;0,362056;2,78558;2,56967;1,08402;0,362515;0,356888;1,01577;18;2,12814657185862
1248;0,431624;2,36608;2,26423;1,04498;0,439549;0,428555;1,02565;0,550484;1,84038;1,75649;1,04776;0,581522;0,552172;1,05315;0,533863;1,89947;1,88537;1,00748;0,540903;0,531519;1,01766;0,600579;1,68283;1,65458;1,01707;0,623528;0,60161;1,03643;0,411105;2,46433;2,22001;1,11005;0,438082;0,411073;1,0657;0,376744;2,672;2,3908;1,11761;0,399896;0,376312;1,06267;26;7,21894084877424
1250;0,41548;2,45985;2,34036;1,05106;0,414681;0,410404;1,01042;0,489461;2,07737;2,00782;1,03464;0,493748;0,485935;1,01608;0,552067;1,83501;1,82457;1,00572;0,551788;0,548508;1,00598;0,500699;2,02933;2,00474;1,01226;0,498616;0,496389;1,00449;0,3681;2,75012;2,51033;1,09552;0,371761;0,363394;1,02303;0,367916;2,71628;2,44785;1,10966;0,382079;0,365209;1,04619;15;-0,871853428141381
1251;0,421608;2,42175;2,29035;1,05737;0,419946;0,416549;1,00815;0,5195;1,95361;1,91234;1,02158;0,522362;0,516073;1,01219;0,590914;1,7111;1,70408;1,00412;0,590757;0,587802;1,00503;0,510217;1,99028;1,96352;1,01363;0,508546;0,5058;1,00543;0,379501;2,66646;2,46634;1,08114;0,379418;0,373772;1,0151;0,344318;2,90563;2,65087;1,0961;0,348196;0,339206;1,0265;22;4,96446428262487
1252;0,439698;2,31666;2,18072;1,06234;0,442248;0,434963;1,01675;0,475678;2,13874;2,0606;1,03792;0,478467;0,472594;1,01243;0,560732;1,80584;1,79654;1,00518;0,560806;0,557909;1,00519;0,486858;2,08894;2,05798;1,01504;0,4832;0,482488;1,00148;0,393075;2,54659;2,32873;1,09355;0,397229;0,387552;1,02497;0,391795;2,512;2,27487;1,10424;0,404548;0,387125;1,04501;25;7,38262313800799
